Best: -17.046996 using {'batch_size': 10, 'epochs': 50, 'neurons': 30}
-22.451141 (5.038956) with: {'batch_size': 10, 'epochs': 10, 'neurons': 15}
-22.938718 (6.440029) with: {'batch_size': 10, 'epochs': 10, 'neurons': 20}
-24.170596 (3.168608) with: {'batch_size': 10, 'epochs': 10, 'neurons': 25}
-22.204261 (7.312390) with: {'batch_size': 10, 'epochs': 10, 'neurons': 30}
-24.105947 (5.029930) with: {'batch_size': 10, 'epochs': 50, 'neurons': 15}
-19.285035 (5.271246) with: {'batch_size': 10, 'epochs': 50, 'neurons': 20}
-18.578513 (3.535912) with: {'batch_size': 10, 'epochs': 50, 'neurons': 25}
-17.046996 (3.897106) with: {'batch_size': 10, 'epochs': 50, 'neurons': 30}
-18.202684 (4.210300) with: {'batch_size': 10, 'epochs': 100, 'neurons': 15}
-18.133250 (4.900497) with: {'batch_size': 10, 'epochs': 100, 'neurons': 20}
-18.773232 (4.221638) with: {'batch_size': 10, 'epochs': 100, 'neurons': 25}
-17.951274 (5.037148) with: {'batch_size': 10, 'epochs': 100, 'neurons': 30}
-23.097017 (6.916581) with: {'batch_size': 20, 'epochs': 10, 'neurons': 15}
-24.937455 (5.312795) with: {'batch_size': 20, 'epochs': 10, 'neurons': 20}
-21.736758 (5.274172) with: {'batch_size': 20, 'epochs': 10, 'neurons': 25}
-26.461799 (9.069412) with: {'batch_size': 20, 'epochs': 10, 'neurons': 30}
-21.266331 (4.761562) with: {'batch_size': 20, 'epochs': 50, 'neurons': 15}
-25.261889 (6.861848) with: {'batch_size': 20, 'epochs': 50, 'neurons': 20}
-18.582899 (4.014361) with: {'batch_size': 20, 'epochs': 50, 'neurons': 25}
-18.816529 (7.107113) with: {'batch_size': 20, 'epochs': 50, 'neurons': 30}
-21.401880 (4.332510) with: {'batch_size': 20, 'epochs': 100, 'neurons': 15}
-22.604830 (6.825076) with: {'batch_size': 20, 'epochs': 100, 'neurons': 20}
-21.751601 (5.792709) with: {'batch_size': 20, 'epochs': 100, 'neurons': 25}
-19.516250 (3.000962) with: {'batch_size': 20, 'epochs': 100, 'neurons': 30}
-26.604817 (10.686896) with: {'batch_size': 40, 'epochs': 10, 'neurons': 15}
-22.406963 (6.819476) with: {'batch_size': 40, 'epochs': 10, 'neurons': 20}
-29.645966 (8.741495) with: {'batch_size': 40, 'epochs': 10, 'neurons': 25}
-29.214459 (14.278201) with: {'batch_size': 40, 'epochs': 10, 'neurons': 30}
-19.036609 (6.445733) with: {'batch_size': 40, 'epochs': 50, 'neurons': 15}
-26.760411 (5.267736) with: {'batch_size': 40, 'epochs': 50, 'neurons': 20}
-20.016192 (7.392441) with: {'batch_size': 40, 'epochs': 50, 'neurons': 25}
-21.276614 (6.192614) with: {'batch_size': 40, 'epochs': 50, 'neurons': 30}
-23.772718 (5.780872) with: {'batch_size': 40, 'epochs': 100, 'neurons': 15}
-25.323497 (6.676330) with: {'batch_size': 40, 'epochs': 100, 'neurons': 20}
-20.091645 (7.098335) with: {'batch_size': 40, 'epochs': 100, 'neurons': 25}
-27.108401 (9.089246) with: {'batch_size': 40, 'epochs': 100, 'neurons': 30}
-28.211452 (10.247497) with: {'batch_size': 60, 'epochs': 10, 'neurons': 15}
-25.015287 (10.679295) with: {'batch_size': 60, 'epochs': 10, 'neurons': 20}
-25.700710 (7.736044) with: {'batch_size': 60, 'epochs': 10, 'neurons': 25}
-29.746830 (7.051234) with: {'batch_size': 60, 'epochs': 10, 'neurons': 30}
-23.367103 (4.435590) with: {'batch_size': 60, 'epochs': 50, 'neurons': 15}
-21.250092 (7.466360) with: {'batch_size': 60, 'epochs': 50, 'neurons': 20}
-24.935893 (8.365142) with: {'batch_size': 60, 'epochs': 50, 'neurons': 25}
-23.008391 (4.717290) with: {'batch_size': 60, 'epochs': 50, 'neurons': 30}
-23.772393 (3.541836) with: {'batch_size': 60, 'epochs': 100, 'neurons': 15}
-23.471135 (5.893860) with: {'batch_size': 60, 'epochs': 100, 'neurons': 20}
-22.626965 (8.274382) with: {'batch_size': 60, 'epochs': 100, 'neurons': 25}
-19.925234 (5.202716) with: {'batch_size': 60, 'epochs': 100, 'neurons': 30}
-25.081932 (6.976887) with: {'batch_size': 80, 'epochs': 10, 'neurons': 15}
-28.736868 (12.093960) with: {'batch_size': 80, 'epochs': 10, 'neurons': 20}
-29.986160 (14.517622) with: {'batch_size': 80, 'epochs': 10, 'neurons': 25}
-28.065724 (10.504561) with: {'batch_size': 80, 'epochs': 10, 'neurons': 30}
-30.182157 (5.787760) with: {'batch_size': 80, 'epochs': 50, 'neurons': 15}
-35.883023 (17.247082) with: {'batch_size': 80, 'epochs': 50, 'neurons': 20}
-26.189243 (9.541223) with: {'batch_size': 80, 'epochs': 50, 'neurons': 25}
-27.292574 (6.048311) with: {'batch_size': 80, 'epochs': 50, 'neurons': 30}
-20.348124 (4.756995) with: {'batch_size': 80, 'epochs': 100, 'neurons': 15}
-38.326535 (15.526866) with: {'batch_size': 80, 'epochs': 100, 'neurons': 20}
-26.038698 (7.820216) with: {'batch_size': 80, 'epochs': 100, 'neurons': 25}
-20.202540 (7.365951) with: {'batch_size': 80, 'epochs': 100, 'neurons': 30}
-27.409404 (10.047634) with: {'batch_size': 100, 'epochs': 10, 'neurons': 15}
-30.070327 (10.496180) with: {'batch_size': 100, 'epochs': 10, 'neurons': 20}
-30.802208 (14.198388) with: {'batch_size': 100, 'epochs': 10, 'neurons': 25}
-32.221510 (12.630815) with: {'batch_size': 100, 'epochs': 10, 'neurons': 30}
-27.142830 (7.893815) with: {'batch_size': 100, 'epochs': 50, 'neurons': 15}
-21.166691 (5.616349) with: {'batch_size': 100, 'epochs': 50, 'neurons': 20}
-44.260697 (26.539298) with: {'batch_size': 100, 'epochs': 50, 'neurons': 25}
-23.025085 (4.709821) with: {'batch_size': 100, 'epochs': 50, 'neurons': 30}
-24.257669 (6.069173) with: {'batch_size': 100, 'epochs': 100, 'neurons': 15}
-25.936668 (7.351430) with: {'batch_size': 100, 'epochs': 100, 'neurons': 20}
-24.298359 (6.615331) with: {'batch_size': 100, 'epochs': 100, 'neurons': 25}
-23.082892 (5.302983) with: {'batch_size': 100, 'epochs': 100, 'neurons': 30}
