
Best: -2.596760 using {'batch_size': 60, 'epochs': 10, 'neurons': 20}
-3.793501 (2.340647) with: {'batch_size': 10, 'epochs': 10, 'neurons': 15}
-3.225203 (2.106973) with: {'batch_size': 10, 'epochs': 10, 'neurons': 20}
-3.918677 (1.844870) with: {'batch_size': 10, 'epochs': 10, 'neurons': 25}
-3.182279 (1.151127) with: {'batch_size': 10, 'epochs': 10, 'neurons': 30}
-9.313795 (4.969119) with: {'batch_size': 10, 'epochs': 50, 'neurons': 15}
-4.284861 (1.905826) with: {'batch_size': 10, 'epochs': 50, 'neurons': 20}
-5.015810 (1.822004) with: {'batch_size': 10, 'epochs': 50, 'neurons': 25}
-6.611167 (3.599129) with: {'batch_size': 10, 'epochs': 50, 'neurons': 30}
-9.512408 (5.757354) with: {'batch_size': 10, 'epochs': 100, 'neurons': 15}
-7.724757 (2.359241) with: {'batch_size': 10, 'epochs': 100, 'neurons': 20}
-4.656516 (1.529258) with: {'batch_size': 10, 'epochs': 100, 'neurons': 25}
-8.693199 (4.918802) with: {'batch_size': 10, 'epochs': 100, 'neurons': 30}
-3.237440 (1.866548) with: {'batch_size': 20, 'epochs': 10, 'neurons': 15}
-3.297614 (1.659760) with: {'batch_size': 20, 'epochs': 10, 'neurons': 20}
-2.829899 (1.156956) with: {'batch_size': 20, 'epochs': 10, 'neurons': 25}
-3.250234 (1.108247) with: {'batch_size': 20, 'epochs': 10, 'neurons': 30}
-9.122352 (2.944998) with: {'batch_size': 20, 'epochs': 50, 'neurons': 15}
-9.713762 (2.958893) with: {'batch_size': 20, 'epochs': 50, 'neurons': 20}
-6.341928 (1.350347) with: {'batch_size': 20, 'epochs': 50, 'neurons': 25}
-6.125684 (3.828776) with: {'batch_size': 20, 'epochs': 50, 'neurons': 30}
-5.908800 (2.804123) with: {'batch_size': 20, 'epochs': 100, 'neurons': 15}
-4.329680 (1.490608) with: {'batch_size': 20, 'epochs': 100, 'neurons': 20}
-9.385743 (4.475337) with: {'batch_size': 20, 'epochs': 100, 'neurons': 25}
-8.930533 (1.524053) with: {'batch_size': 20, 'epochs': 100, 'neurons': 30}
-2.804326 (0.999932) with: {'batch_size': 40, 'epochs': 10, 'neurons': 15}
-2.898846 (1.263013) with: {'batch_size': 40, 'epochs': 10, 'neurons': 20}
-4.039001 (1.734866) with: {'batch_size': 40, 'epochs': 10, 'neurons': 25}
-2.973483 (1.375005) with: {'batch_size': 40, 'epochs': 10, 'neurons': 30}
-9.374489 (1.551161) with: {'batch_size': 40, 'epochs': 50, 'neurons': 15}
-15.542252 (4.881581) with: {'batch_size': 40, 'epochs': 50, 'neurons': 20}
-5.437317 (2.924607) with: {'batch_size': 40, 'epochs': 50, 'neurons': 25}
-3.549469 (2.230644) with: {'batch_size': 40, 'epochs': 50, 'neurons': 30}
-7.750711 (6.199311) with: {'batch_size': 40, 'epochs': 100, 'neurons': 15}
-13.135805 (6.424657) with: {'batch_size': 40, 'epochs': 100, 'neurons': 20}
-5.818725 (1.538355) with: {'batch_size': 40, 'epochs': 100, 'neurons': 25}
-8.794280 (2.916271) with: {'batch_size': 40, 'epochs': 100, 'neurons': 30}
-2.674212 (1.025443) with: {'batch_size': 60, 'epochs': 10, 'neurons': 15}
-2.596760 (1.106973) with: {'batch_size': 60, 'epochs': 10, 'neurons': 20}
-3.001756 (1.368988) with: {'batch_size': 60, 'epochs': 10, 'neurons': 25}
-3.426456 (1.792522) with: {'batch_size': 60, 'epochs': 10, 'neurons': 30}
-14.161208 (12.400603) with: {'batch_size': 60, 'epochs': 50, 'neurons': 15}
-7.531070 (3.965243) with: {'batch_size': 60, 'epochs': 50, 'neurons': 20}
-10.039186 (5.274009) with: {'batch_size': 60, 'epochs': 50, 'neurons': 25}
-4.345606 (1.852823) with: {'batch_size': 60, 'epochs': 50, 'neurons': 30}
-7.421407 (2.802181) with: {'batch_size': 60, 'epochs': 100, 'neurons': 15}
-10.610519 (7.667906) with: {'batch_size': 60, 'epochs': 100, 'neurons': 20}
-6.370544 (3.368589) with: {'batch_size': 60, 'epochs': 100, 'neurons': 25}
-8.523447 (2.783922) with: {'batch_size': 60, 'epochs': 100, 'neurons': 30}
-3.135099 (1.427445) with: {'batch_size': 80, 'epochs': 10, 'neurons': 15}
-2.613851 (1.147130) with: {'batch_size': 80, 'epochs': 10, 'neurons': 20}
-3.994796 (2.408421) with: {'batch_size': 80, 'epochs': 10, 'neurons': 25}
-3.305103 (1.777013) with: {'batch_size': 80, 'epochs': 10, 'neurons': 30}
-6.169756 (2.867305) with: {'batch_size': 80, 'epochs': 50, 'neurons': 15}
-4.462514 (2.137338) with: {'batch_size': 80, 'epochs': 50, 'neurons': 20}
-4.145791 (1.904636) with: {'batch_size': 80, 'epochs': 50, 'neurons': 25}
-5.283265 (0.830016) with: {'batch_size': 80, 'epochs': 50, 'neurons': 30}
-9.502724 (5.552414) with: {'batch_size': 80, 'epochs': 100, 'neurons': 15}
-9.021227 (5.560444) with: {'batch_size': 80, 'epochs': 100, 'neurons': 20}
-9.452388 (7.006894) with: {'batch_size': 80, 'epochs': 100, 'neurons': 25}
-7.959208 (4.272450) with: {'batch_size': 80, 'epochs': 100, 'neurons': 30}
-3.067587 (1.569557) with: {'batch_size': 100, 'epochs': 10, 'neurons': 15}
-3.372639 (1.691084) with: {'batch_size': 100, 'epochs': 10, 'neurons': 20}
-2.985926 (1.407805) with: {'batch_size': 100, 'epochs': 10, 'neurons': 25}
-3.147382 (1.489622) with: {'batch_size': 100, 'epochs': 10, 'neurons': 30}
-6.724905 (2.420622) with: {'batch_size': 100, 'epochs': 50, 'neurons': 15}
-7.805139 (4.132621) with: {'batch_size': 100, 'epochs': 50, 'neurons': 20}
-4.216149 (2.360080) with: {'batch_size': 100, 'epochs': 50, 'neurons': 25}
-6.336302 (4.444393) with: {'batch_size': 100, 'epochs': 50, 'neurons': 30}
-9.428321 (7.847460) with: {'batch_size': 100, 'epochs': 100, 'neurons': 15}
